id,category,gender,baseColour,season,usage,noisyTextDescription
36274,Scarves,Women,Grey,Summer,Casual,Femella Women Ankle-Length Grey AQ-S800WD-1EVDFAD170
15129,Flip Flops,Unisex,Green,Summer,Casual,Converse Unisex Casual Skirts Slipper
58976,Topwear,Women,Red,Summer,Ethnic,Velia Women Acetone Kurta
32922,Sandal,Men,Brown,Summer,Casual,Enroute Men Leather Brown Sandals
29561,Topwear,Women,Pink,Fall,Ethnic,Aneri Exclusive Anu Pink Inspirartion
40433,Bags,Women,Multi,Summer,Casual,Envirosax Women Multi Corp T2N150
55160,Socks,Men,Black,Summer,Casual,Playboy Begining Tights Skt
23627,Topwear,Women,White,Summer,Casual,Femella Women White ComfortSoft Shirt
12816,Topwear,Women,Blue,Summer,Ethnic,Avirate Women Blue Chanderi Dupatta
36226,Shoes,Women,Red,Fall,Casual,Lotto Women Virtue CSM LTP-1283D-2ADF
36748,Scarves,Men,Brown,Summer,Casual,Arrow Men No.1 Check Scarf
14420,Bags,Women,Grey,Winter,Casual,Murcia Women Grey Convertable Handbag
50721,Topwear,Women,Purple,Fall,Casual,Scullers For Her Women Solid Purple Tunic
2710,Watches,Women,Black,Winter,Casual,Aug Women Black Dial Gal W60005L2
20503,Topwear,Men,Blue,Fall,Casual,Spykar Men Stripes Blue Sweaters
4319,Topwear,Men,Navy Blue,Fall,Formal,Scullers loma Scul Search ES3090 Shirts
17582,Watches,Women,Black,Winter,Casual,Fastrack Women Black Dial Netted
24907,Topwear,Men,Grey,Fall,Casual,Probase Men Printed DB75 Tshirts
39670,Sandal,Men,Black,Summer,Casual,Lotto Men Cross Black Floater
18707,Dress,Women,Black,Summer,Casual,Elle Women Blue Magical Black 115
59926,Shoes,Women,Grey,Summer,Casual,Catwalk Women Multi Coloured Sandals
59126,Topwear,Women,Green,Fall,Casual,United Colors of Benetton Women Light Winter Green T-shirt
41241,Shoes,Men,White,Summer,Casual,ADIDAS Men's Daily Vulc Mid Structure White Shoe
9917,Headwear,Unisex,Black,Summer,Casual,Neck-Yarn Unisex Black Cap
3502,Topwear,Women,Pink,Fall,Ethnic,Vishudh Women Extra Pink Kurta
1863,Jewellery,Women,Gold,Summer,Ethnic,Royal Meddle Drake Earrings
22467,Bottomwear,Men,Grey,Summer,Sports,Nike Men Tempo Grey Shorts
59315,Topwear,Men,Navy Blue,Summer,Casual,Classic Polo Men's Navy Wildberry Stripe T-shirt
20836,Shoes,Men,Navy Blue,Fall,Sports,Nike Morgan Advantures Force 1 Navy Blue Sports Map
12546,Bags,Women,Olive,Fall,Casual,Baggit Women Olive Handbag
59989,Bags,Women,Brown,Summer,Casual,Murcia Women Brown Handbag
54041,Topwear,Women,Peach,Summer,Casual,Florida Talkies Women Peach Printed Top
46659,Bags,Women,Beige,Winter,Casual,Lino Perros Women Solid Turqoise Handbag
29422,Innerwear,Men,Navy Blue,Winter,Casual,Chromozome Men Navy T- Trunks
4153,Shoes,Women,Brown,Fall,Casual,Action Women Femmes Brown Boot
17074,Wallets,Women,Purple,Summer,Casual,Lino Sl Women Leather Purple Wallet
34563,Belts,Men,Black,Fall,Casual,Calcetto Bvallee Kyle Whalf Electric
25208,Sandal,Men,Grey,Spring,Casual,Spinn Men Aura Grey Sandals
58218,Saree,Women,Mustard,Fall,Ethnic,Prafful Mustard Crepe Printed Feather
39976,Topwear,Men,Green,Fall,Casual,Scullers Brushed Green & Purple Checked Shirt
51025,Watches,Women,Silver,Winter,Casual,Giordano Women Callum Dial Watch
4422,Topwear,Men,White,Fall,Sports,Nike Men Solid Mobile Sweaters
9973,Topwear,Women,Brown,Summer,Ethnic,W Women Brown NY8472
54499,Jewellery,Women,Cream,Winter,Casual,ToniQ Women Revv Bangle
58676,Shoes,Men,Black,Summer,Sports,Nike Men's Zoom Terrinda 'N Shoe
27986,Jewellery,Women,Silver,Winter,Casual,Fabindia Silver Earrings
50238,Wallets,Women,Blue,Summer,Casual,Lino Perros Dupatta Aneri Wallet
38526,Shoes,Women,Black,Winter,Casual,Catwalk Women of Black Heels
40773,Topwear,Men,Red,Fall,Casual,Graphite Men Cosmo Red ADH2569
9131,Sandal,Men,Black,Summer,Casual,Puma Men Albedo Black Sandals
29584,Topwear,Men,Purple,Fall,Casual,Scullers Men Solid Purple Lead
24395,Innerwear,Women,White,Summer,Casual,Knowledge Sapera Bra
43111,Topwear,Women,Pink,Summer,Casual,Mumbai Slang Women Pink Top
58321,Topwear,Men,Maroon,Summer,Ethnic,Fabindia Men Maroon Kurta
2985,Topwear,Men,Yellow,Summer,Casual,ADIDAS Men Linnea Snl Haley
15918,Nails,Women,Pink,Spring,Casual,Lakme it Fast & Right Wicked Pink sleeve Polish 22
8317,Topwear,Men,Green,Fall,Sports,A652 Demure Kouros T-shirt
40529,Topwear,Women,Black,Summer,Casual,Arrow Woman Black Cardigan
26825,Topwear,Men,Purple,Fall,Casual,Inkfruit Men Trim Purple Tshirt
41222,Topwear,Women,Pink,Summer,Ethnic,BIBA OUTLET Rupee Fushsia Pink BS121
35546,Topwear,Women,Grey,Summer,Casual,Tonga Women Printed Grey Top
44242,Topwear,Women,Red,Fall,Ethnic,Establish Women Printed Traditional Kurta
9430,Shoes,Women,Black,Summer,Casual,Tiptopp Women Black Flats
13285,Topwear,Men,Red,Fall,Casual,Basics Men Plain Zari money Tshirts
42812,Topwear,Women,Black,Summer,Casual,Femella Women Tan Shaped Shirt
27092,Socks,Women,Navy Blue,Summer,Casual,Playboy Women Lazuli Blue Socks
11132,Loungewear and Nightwear,Men,Grey,Fall,Sports,Puma Men Steel Grey 3/4 Vita Trim
8249,Topwear,Men,Blue,Fall,Casual,Mark Lspring Men White & Blue Striped Shirt
51632,Shoes,Women,Black,Winter,Casual,Inc 5 Arriba Casual Black Flats
38314,Topwear,Men,Blue,Fall,Sports,P089BR2 Men Elixir Manchester United 97
53067,Shoes,Women,Blue,Winter,Casual,973 Terrae Blue Wine
12061,Shoes,Men,Black,Summer,Sports,Blk Lux Galaxy Pillars Black Dash Shoe
44553,Sandal,Boys,Blue,Fall,Casual,Summit Nutraeye Blue Slippers
6306,Topwear,Women,Pink,Summer,Ethnic,Sushilas Women Printed Reezoom Kurta
38434,Topwear,Men,Beige,Summer,Casual,Forever Men Pack of 3 Tranquil T- Shirts
32964,Lips,Women,Brown,Spring,Casual,Colorbar Velvet Matte Rider Lipstick Equinox H2H-1-2011
13187,Bags,Women,Green,Summer,Casual,Kiara Women Quilted Leatherette Green Handbag
33920,Shoes,Women,Black,Winter,Casual,Belt Women Black & Brown Sandals
14363,Dress,Girls,Magenta,Fall,Casual,Marathon Kids Girls Party 26B Purple Vera
24301,Shoes,Men,White,Summer,Casual,Losanna Men Zoom White Sand Shoes
57975,Topwear,Men,Mustard,Fall,Casual,Browwn Men Sphere Mustard T-shirt
42402,Topwear,Men,White,Summer,Casual,Basics Men Shaded T-shirt
31036,Shoes,Men,White,Fall,Sports,Reebok Men Racehound White Sports Shoes
6603,Nails,Women,Brown,Spring,Casual,Leatherite Coffee Nail Lacquer 15
56046,Shoes,Men,White,Summer,Sports,FILA Men V-neck III White Sports Audi
34604,Topwear,Men,Black,Summer,Casual,Puma Lightweight Black T-shirt
13814,Innerwear,Men,Grey Melange,Fall,Casual,Jockey INTENSE Men Grey Melange Slick Nasty Pent
58844,Watches,Women,Black,Winter,Casual,A148J305Y Cool Black Dial Watch
32283,Innerwear,Men,Navy Blue,Summer,Casual,ES2964 Turtle RF Blue Innerwear Shale
53666,Topwear,Men,White,Summer,Casual,United Colors of Benetton Sneakers Printed White TShirt
1657,Nails,Women,Purple,Spring,Casual,Lotus Herbals Colour Dew Cranberry Hair Nail Enamel 922
44790,Topwear,Men,Brown,Summer,Casual,Probase figures 8 Brown T-shirt
1763,Sandal,Men,Red,Fall,Casual,Lotto Men Fury Red CL
30565,Bags,Women,Blue,Summer,Casual,Kiara Women Blue Handbag
14283,Bottomwear,Men,Black,Summer,Casual,Scullers Men Black Trousers
34737,Bags,Women,Blue,Winter,Casual,Murcia Women Turquoise Blue Handbag
20861,Shoes,Men,Olive,Summer,Casual,ED152 PL12895LS-02M Men Olive Shoes
50583,Shoes,Women,Black,Summer,Sports,Puma Women BodyTrain Mesh Samson Black Sports ES2959
18475,Topwear,Women,Beige,Summer,Casual,Crime Cherokee Beige Embroidered Top
14772,Jewellery,Women,Silver,Summer,Casual,Lucera Women Gold Ring
